	organism	tem_range
0	Aquifex pyrophilus Huber and Stetter 1992	hyperthermophilic
1	Thermocrinis ruber Huber et al. 1999	hyperthermophilic
2	Thermocrinis ruber Huber et al. 1999	hyperthermophilic
3	Thermocrinis albus Eder and Huber 2002	hyperthermophilic
4	Ignicoccus islandicus Huber et al. 2000	hyperthermophilic
5	Ignicoccus pacificus Huber and Stetter 2000	hyperthermophilic
6	Ignicoccus hospitalis Paper et al. 2007	hyperthermophilic
7	Ignisphaera aggregans Niederberger et al. 2006	hyperthermophilic
8	Stetteria hydrogenophila Jochimsen et al. 1998	hyperthermophilic
9	Thermodiscus maritimus Stetter 2003	hyperthermophilic
10	Aeropyrum pernix Sako et al. 1996	hyperthermophilic
11	Aeropyrum camini Nakagawa et al. 2004	hyperthermophilic
12	Desulfurococcus mucosus Zillig and Stetter 1983 emend. Perevalova et al. 2016	hyperthermophilic
13	Desulfurococcus mucosus Zillig and Stetter 1983	hyperthermophilic
14	Desulfurococcus amylolyticus Bonch-Osmolovskaya et al. 2001 emend. Perevalova et al. 2016	hyperthermophilic
15	Desulfurococcus amylolyticus Bonch-Osmolovskaya et al. 2001 emend. Perevalova et al. 2016	hyperthermophilic
16	Staphylothermus marinus Stetter and Fiala 1986	hyperthermophilic
17	Staphylothermus marinus Stetter and Fiala 1986	hyperthermophilic
18	Staphylothermus hellenicus Arab et al. 2000	hyperthermophilic
19	Sulfophobococcus zilligii Hensel et al. 1997	hyperthermophilic
20	Thermosphaera aggregans Huber et al. 1998	hyperthermophilic
21	Methanocaldococcus jannaschii (Jones et al. 1984) Whitman 2002	hyperthermophilic
22	Methanocaldococcus infernus (Jeanthon et al. 1998) Whitman 2002	hyperthermophilic
23	Methanocaldococcus vulcanius (Jeanthon et al. 1999) Whitman 2002	hyperthermophilic
24	Methanocaldococcus fervens (Jeanthon et al. 1999) Whitman 2002	hyperthermophilic
25	Methanocaldococcus indicus L'Haridon et al. 2003	hyperthermophilic
26	Methanocaldococcus villosus Bellack et al. 2011	hyperthermophilic
27	Methanotorris igneus (Burggraf et al. 1990) Whitman 2002	hyperthermophilic
28	Methanopyrus kandleri Kurr et al. 1992	hyperthermophilic
29	Methanothermus fervidus Stetter 1982	hyperthermophilic
30	Methanothermus fervidus Stetter 1982	hyperthermophilic
31	Methanothermus fervidus Stetter 1982	hyperthermophilic
32	Methanothermus sociabilis Stetter 1986	hyperthermophilic
33	Pyrolobus fumarii Bl&ouml;chl et al. 1999	hyperthermophilic
34	Hyperthermus butylicus Zillig et al. 1991	hyperthermophilic
35	Pyrodictium brockii Stetter et al. 1984	hyperthermophilic
36	Pyrodictium occultum Stetter et al. 1984	hyperthermophilic
37	Pyrodictium abyssi Pley and Stetter 1991	hyperthermophilic
38	Acidianus infernus Segerer et al. 1986	hyperthermophilic
39	Acidianus ambivalens (Zillig and B&ouml;ck 1987) Fuchs et al. 1996	hyperthermophilic
40	Stygiolobus azoricus Segerer et al. 1991	hyperthermophilic
41	Sulfolobus solfataricus Zillig et al. 1980	hyperthermophilic
42	Thermus thermophilus (ex Oshima and Imahori 1974) Manaia et al. 1995	hyperthermophilic
43	Thermus thermophilus (ex Oshima and Imahori 1974) Manaia et al. 1995	hyperthermophilic
44	Palaeococcus ferrophilus Takai et al. 2000	hyperthermophilic
45	Palaeococcus helgesonii Amend et al. 2006	hyperthermophilic
46	Pyrococcus furiosus Fiala and Stetter 1986	hyperthermophilic
47	Pyrococcus furiosus Fiala and Stetter 1986	hyperthermophilic
48	Pyrococcus woesei Zillig 1988	hyperthermophilic
49	Pyrococcus horikoshii Gonz&aacute;lez et al. 1999	hyperthermophilic
50	Pyrococcus horikoshii Gonz&aacute;lez et al. 1999	hyperthermophilic
51	Pyrococcus abyssi Erauso et al.	hyperthermophilic
52	Thermococcus celer Zillig 1983	hyperthermophilic
53	Thermococcus sp.	hyperthermophilic
54	Thermococcus litoralis Neuner et al. 2001	hyperthermophilic
55	Thermococcus litoralis Neuner et al. 2001	hyperthermophilic
56	Thermococcus profundus Kobayashi and Horikoshi 1995	hyperthermophilic
57	Thermococcus chitonophagus Huber and Stetter 1996	hyperthermophilic
58	Thermococcus alcaliphilus Keller et al. 1997	hyperthermophilic
59	Thermococcus peptonophilus Gonz&aacute;lez et al. 1996	hyperthermophilic
60	Thermococcus barophilus Marteinsson et al. 1999	hyperthermophilic
61	Thermococcus acidaminovorans Dirmeier et al. 2001	hyperthermophilic
62	Thermococcus pacificus Miroshnichenko et al. 1998	hyperthermophilic
63	Thermococcus gorgonarius Miroshnichenko et al. 1998	hyperthermophilic
64	Thermococcus siculi Grote et al. 2000	hyperthermophilic
65	Thermococcus aggregans Canganella et al. 1998	hyperthermophilic
66	Thermococcus guaymasensis Canganella et al. 1998	hyperthermophilic
67	Thermococcus aegaeus Arab et al. 2000	hyperthermophilic
68	Thermococcus waiotapuensis Gonz&aacute;lez et al. 2001	hyperthermophilic
69	Thermococcus fumicolans Godfroy and Meunier 1996	hyperthermophilic
70	Thermococcus thioreducens Pikuta et al. 2007	hyperthermophilic
71	Thermococcus atlanticus Cambon-Bonavita et al. 2004	hyperthermophilic
72	Thermococcus marinus	hyperthermophilic
73	Thermococcus radiotolerans	hyperthermophilic
74	Thermococcus gammatolerans Jolivet et al. 2003	hyperthermophilic
75	Thermococcus coalescens Kuwabara et al. 2005	hyperthermophilic
76	Thermococcus barossii Duffaud et al. 2005	hyperthermophilic
77	Thermococcus celericrescens Kuwabara et al. 2007	hyperthermophilic
78	Thermofilum pendens Zillig and Gierl 1983	hyperthermophilic
79	Thermofilum librum	hyperthermophilic
80	Vulcanisaeta distributa Itoh et al. 2002	hyperthermophilic
81	Vulcanisaeta souniana Itoh et al. 2002	hyperthermophilic
82	Caldivirga maquilingensis Itoh et al. 1999	hyperthermophilic
83	Pyrobaculum islandicum Huber et al. 1988	hyperthermophilic
84	Pyrobaculum organotrophum Huber et al. 1988	hyperthermophilic
85	Pyrobaculum aerophilum V&ouml;lkl et al. 1996	hyperthermophilic
86	Pyrobaculum oguniense Sako et al. 2001	hyperthermophilic
87	Pyrobaculum arsenaticum Huber et al. 2001	hyperthermophilic
88	Pyrobaculum calidifontis Amo et al. 2008	hyperthermophilic
89	Pyrobaculum neutrophilum (Stetter and Zillig 1989) Chan et al. 2013	hyperthermophilic
90	Thermoproteus tenax Zillig and Stetter 1982	hyperthermophilic
91	Thermoproteus uzoniensis Bonch-Osmolovskaya et al. 2001	hyperthermophilic
92	Fervidobacterium nodosum Patel et al. 1985	thermophilic
93	Thermotoga maritima Stetter and Huber 1986	hyperthermophilic
94	Thermotoga neapolitana Jannasch et al. 1989	hyperthermophilic
95	Pseudothermotoga thermarum (Windberger et al. 1992) Bhandari and Gupta 2014	hyperthermophilic
96	Thermotoga petrophila Takahata et al. 2001	hyperthermophilic
97	Thermotoga naphthophila Takahata et al. 2001	hyperthermophilic
98	Thermovibrio ruber Huber et al. 2002	hyperthermophilic
99	Acidilobus aceticus Prokofeva et al. 2000	hyperthermophilic
100	Acidilobus saccharovorans Prokofeva et al. 2009	hyperthermophilic
101	Fervidicoccus fontis Perevalova et al. 2010	hyperthermophilic
102	Archaeoglobus fulgidus Stetter 1988	hyperthermophilic
103	Archaeoglobus profundus Burggraf et al. 1990	hyperthermophilic
104	Ferroglobus placidus Hafenbradl et al. 1997	hyperthermophilic
105	Geoglobus acetivorans Slobodkina et al. 2009	hyperthermophilic
106	Palaeococcus pacificus Zeng et al. 2013	hyperthermophilic
107	Aquifex sp.	hyperthermophilic
108	Thermococcus cleftensis Hensley et al. 2014	hyperthermophilic
109	Thermococcus paralvinellae Hensley et al. 2014	hyperthermophilic
110	Geoglobus ahangari Kashefi et al. 2002	hyperthermophilic
111	Methanocaldococcus bathoardescens Stewart et al. 2015	hyperthermophilic
112	Pyrobaculum ferrireducens Slobodkina et al. 2015	hyperthermophilic
113	Thermocrinis jamiesonii Dodsworth et al. 2015	hyperthermophilic
114	Thermogladius calderae Kochetkova et al. 2016	hyperthermophilic
115	Pyrococcus kukulkanii Callac et al. 2016	hyperthermophilic
116	Pyrodictium delaneyi Lin et al. 2016	hyperthermophilic
117	Archaeoglobus fulgidus Stetter 1988	hyperthermophilic
118	Desulfurococcus amylolyticus Bonch-Osmolovskaya et al. 2001 emend. Perevalova et al. 2016	hyperthermophilic
119	Thermofilum uzonense Toshchakov et al. 2016	hyperthermophilic
120	Pyrococcus sp.	hyperthermophilic
121	Pyrobaculum igneiluti Lee et al. 2017	hyperthermophilic
0	Rubritepida flocculans Alarico et al. 2002	thermophilic
1	Acidicaldus organivorans Johnson et al. 2006	thermophilic
2	Acidimicrobium ferrooxidans Clark and Norris 1996	thermophilic
3	Acidithiobacillus caldus (Hallberg and Lindstr&ouml;m 1995) Kelly and Wood 2000	thermophilic
4	Acidithiobacillus sp.	thermophilic
5	Alicyclobacillus acidoterrestris (Deinhard et al. 1988) Wisotzkey et al. 1992	thermophilic
6	Alicyclobacillus acidoterrestris (Deinhard et al. 1988) Wisotzkey et al. 1992	thermophilic
7	Alicyclobacillus acidoterrestris (Deinhard et al. 1988) Wisotzkey et al. 1992	thermophilic
8	Alicyclobacillus acidoterrestris (Deinhard et al. 1988) Wisotzkey et al. 1992	thermophilic
9	Alicyclobacillus cycloheptanicus (Deinhard et al. 1988) Wisotzkey et al. 1992	thermophilic
10	Alicyclobacillus cycloheptanicus (Deinhard et al. 1988) Wisotzkey et al. 1992	thermophilic
11	Alicyclobacillus cycloheptanicus (Deinhard et al. 1988) Wisotzkey et al. 1992	thermophilic
12	Alicyclobacillus sp.	thermophilic
13	Alicyclobacillus sp.	thermophilic
14	Alicyclobacillus sp.	thermophilic
15	Alicyclobacillus sp.	thermophilic
16	Alicyclobacillus hesperidum Albuquerque et al. 2000	thermophilic
17	Alicyclobacillus hesperidum Albuquerque et al. 2000	thermophilic
18	Alicyclobacillus herbarius Goto et al. 2002	thermophilic
19	Alicyclobacillus acidiphilus Matsubara et al. 2002	thermophilic
20	Alicyclobacillus acidocaldarius  subsp. rittmannii Nicolaus et al. 2002	thermophilic
21	Alicyclobacillus acidocaldarius  subsp. acidocaldarius (Darland and Brock 1971) Nicolaus et al. 2002	thermophilic
22	Alicyclobacillus acidocaldarius  subsp. acidocaldarius (Darland and Brock 1971) Nicolaus et al. 2002	thermophilic
23	Alicyclobacillus acidocaldarius  subsp. acidocaldarius (Darland and Brock 1971) Nicolaus et al. 2002	thermophilic
24	Alicyclobacillus acidocaldarius  subsp. acidocaldarius (Darland and Brock 1971) Nicolaus et al. 2002	thermophilic
25	Alicyclobacillus acidocaldarius  subsp. acidocaldarius (Darland and Brock 1971) Nicolaus et al. 2002	thermophilic
26	Alicyclobacillus acidocaldarius  subsp. acidocaldarius (Darland and Brock 1971) Nicolaus et al. 2002	thermophilic
27	Alicyclobacillus acidocaldarius  subsp. acidocaldarius (Darland and Brock 1971) Nicolaus et al. 2002	thermophilic
28	Alicyclobacillus acidocaldarius  subsp. acidocaldarius (Darland and Brock 1971) Nicolaus et al. 2002	thermophilic
29	Alicyclobacillus pomorum Goto et al. 2003	thermophilic
30	Alicyclobacillus vulcanalis Simbahan et al. 2004	thermophilic
31	Alicyclobacillus sendaiensis Tsuruoka et al. 2003	thermophilic
32	Alicyclobacillus sacchari Goto et al. 2007	thermophilic
33	Alicyclobacillus contaminans Goto et al. 2007	thermophilic
34	Alicyclobacillus fastidiosus Goto et al. 2007	thermophilic
35	Alicyclobacillus kakegawensis Goto et al. 2007	thermophilic
36	Alicyclobacillus macrosporangiidus Goto et al. 2007	thermophilic
37	Alicyclobacillus shizuokensis Goto et al. 2007	thermophilic
38	Effusibacillus pohliae (Imperio et al. 2008) Watanabe et al. 2014	thermophilic
39	Kyrpidia tusciae (Bonjour and Aragno 1985) Klenk et al. 2012	thermophilic
40	Aestuariibacter halophilus Yi et al. 2004	thermophilic
41	Microbulbifer thermotolerans Miyazaki et al. 2008	thermophilic
42	Marinobacter lutaoensis Shieh et al. 2003	thermophilic
43	Anaerolinea thermophila Sekiguchi et al. 2003	thermophilic
44	Anaerolinea thermolimosa Yamada et al. 2006	thermophilic
45	Bellilinea caldifistulae Yamada et al. 2007	thermophilic
46	Ornatilinea apprima Podosokorskaya et al. 2013	thermophilic
47	Hydrogenivirga caldilitoris Nakagawa et al. 2004	thermophilic
48	Hydrogenivirga okinawensis Nunoura et al. 2008	thermophilic
49	Hydrogenobacter hydrogenophilus (Kryukov et al. 1984) St&ouml;hr et al. 2001	thermophilic
50	Hydrogenobacter thermophilus Kawasumi et al. 1984	thermophilic
51	Hydrogenobaculum acidophilum (Shima and Suzuki 1993) St&ouml;hr et al. 2001	thermophilic
52	Hydrogenothermus marinus St&ouml;hr et al. 2001	thermophilic
53	Persephonella marina G&ouml;tz et al. 2002	thermophilic
54	Persephonella hydrogeniphila Nakagawa et al. 2003	thermophilic
55	Sulfurihydrogenibium subterraneum Takai et al. 2003 emend. Nakagawa et al. 2005	thermophilic
56	Sulfurihydrogenibium azorense Aguiar et al. 2004 emend. Nakagawa et al. 2005	thermophilic
57	Sulfurihydrogenibium rodmanii O'Neill et al. 2008	thermophilic
58	Sulfurihydrogenibium kristjanssonii Flores et al. 2008	thermophilic
59	Thermocrinis minervae Caldwell et al. 2010	thermophilic
60	Anoxybacillus flavithermus  subsp. flavithermus (Pikuta et al. 2000) Dai et al. 2011	thermophilic
61	Anoxybacillus flavithermus  subsp. flavithermus (Pikuta et al. 2000) Dai et al. 2011	thermophilic
62	Anoxybacillus pushchinoensis Pikuta et al. 2000 emend. Pikuta et al. 2003	thermophilic
63	Anoxybacillus kamchatkensis Kevbrin et al. 2006	thermophilic
64	Anoxybacillus contaminans De Clerck et al. 2004	thermophilic
65	Anoxybacillus caldiproteolyticus Coorevits et al. 2012	thermophilic
66	Anoxybacillus tepidamans (Sch&auml;ffer et al. 2004) Coorevits et al. 2012	thermophilic
67	Anoxybacillus voinovskiensis Yumoto et al. 2004	thermophilic
68	Anoxybacillus sp.	thermophilic
69	Anoxybacillus bogrovensis Atanassova et al. 2008	thermophilic
70	Anoxybacillus amylolyticus Poli et al. 2006	thermophilic
71	Anoxybacillus mongoliensis Namsaraev et al. 2011	thermophilic
72	Anoxybacillus rupiensis Derekova et al. 2008	thermophilic
73	Anoxybacillus kamchatkensis  subsp. asaccharedens	thermophilic
74	Anoxybacillus thermarum Poli et al. 2011	thermophilic
75	Anoxybacillus eryuanensis Zhang et al. 2011	thermophilic
