	organism	tem
0	Acaryochloris marina MBIC11017	0
1	Acetoanaerobium sticklandii	404ERROR
2	Acetobacter aceti	0
3	Acetobacterium woodii DSM 1030	404ERROR
4	Acetobacter pasteurianus	404ERROR
5	Acetobacter pasteurianus 386B	404ERROR
6	Acetobacter pasteurianus IFO 3283-01	404ERROR
7	Acetobacter pasteurianus IFO 3283-01-42C	404ERROR
8	Acetobacter pasteurianus IFO 3283-03	404ERROR
9	Acetobacter pasteurianus IFO 3283-07	404ERROR
10	Acetobacter pasteurianus IFO 3283-12	404ERROR
11	Acetobacter pasteurianus IFO 3283-22	404ERROR
12	Acetobacter pasteurianus IFO 3283-26	404ERROR
13	Acetobacter pasteurianus IFO 3283-32	404ERROR
14	Acetobacter pasteurianus NBRC 101655	404ERROR
15	Acetobacter pasteurianus subsp. ascendens	404ERROR
16	Acetobacter pasteurianus subsp. paradoxus	404ERROR
17	Acetobacter pasteurianus subsp. pasteurianus	404ERROR
18	Acetobacter persici	404ERROR
19	Acetobacter pomorum	0
20	Acetobacter senegalensis	404ERROR
21	Acetobacter sp. SLV-7	404ERROR
22	Acetobacter tropicalis	404ERROR
23	Acetohalobium arabaticum DSM 5501	0
24	Acetomicrobium mobile DSM 13181	404ERROR
25	Acholeplasma brassicae	404ERROR
26	Acholeplasma laidlawii PG-8A	0
27	Acholeplasma oculi	404ERROR
28	Acholeplasma palmae J233	404ERROR
29	Achromobacter denitrificans	0
30	Achromobacter insolitus	0
31	Achromobacter spanius	0
32	Achromobacter sp. AONIH1	404ERROR
33	Achromobacter xylosoxidans	0
34	Achromobacter xylosoxidans A8	0
35	Achromobacter xylosoxidans C54	0
36	Acidaminococcus fermentans DSM 20731	404ERROR
37	Acidaminococcus intestini RyC-MR95	404ERROR
38	Acidianus hospitalis W1	404ERROR
39	Acidihalobacter prosperus	0
40	Acidilobus saccharovorans 345-15	0
41	Acidimicrobium ferrooxidans DSM 10331	0
42	Acidiphilium cryptum JF-5	0
43	Acidiphilium multivorum AIU301	404ERROR
44	Acidipropionibacterium acidipropionici	404ERROR
45	Acidipropionibacterium acidipropionici ATCC 4875	404ERROR
46	Acidithiobacillus caldus	['45', '45', '32', '52', '55']
47	Acidithiobacillus caldus ATCC 51756	['45', '45', '32', '52', '55']
48	Acidithiobacillus caldus SM-1	['45', '45', '32', '52', '55']
49	Acidithiobacillus ferrivorans SS3	404ERROR
