"	organism	tem",,,,,,,,,
"46	Acidithiobacillus caldus	['45'", '45', '32', '52', '55'],,,,,
"47	Acidithiobacillus caldus ATCC 51756	['45'", '45', '32', '52', '55'],,,,,
"48	Acidithiobacillus caldus SM-1	['45'", '45', '32', '52', '55'],,,,,
"66	Aciduliprofundum boonei T469	['77'", '70'],,,,,,,,
"165	Aeromonas dhakensis	['37']",,,,,,,,,
"178	Aeromonas salmonicida	['25'", '25', '37', '25'],,,,,,
"179	Aeromonas salmonicida subsp. masoucida	['25'", '25', '37', '25'],,,,,,
"180	Aeromonas salmonicida subsp. pectinolytica 34mel	['25'", '25', '37', '25'],,,,,,
"181	Aeromonas salmonicida subsp. salmonicida A449	['25'", '25', '37', '25'],,,,,,
"212	Alcaligenes faecalis	['37']",,,,,,,,,
"213	Alcanivorax borkumensis SK2	['35']",,,,,,,,,
"222	Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446	['65'", '70'],,,,,,,,
"223	Alicyclobacillus acidocaldarius subsp. acidocaldarius Tc-4-1	['65'", '70'],,,,,,,,
"310	Aquifex aeolicus VF5	['95']",,,,,,,,,
"313	Archaeoglobus fulgidus DSM 4304	['95'", '83', '83'],,,,,,,
"314	Archaeoglobus fulgidus DSM 8774	['95'", '83', '83'],,,,,,,
"316	Archaeoglobus sulfaticallidus PM70-1	['95'", '83', '83'],,,,,,,
"317	Archaeoglobus veneficus SNP6	['95'", '83', '83'],,,,,,,
"404	Bacillus cereus	['30'", '30', '100', '10', '50', '10', '50', '56', '121', '50']
"405	Bacillus cereus 03BB102	['30'", '30', '100', '10', '50', '10', '50', '56', '121', '50']
"406	Bacillus cereus 03BB108	['30'", '30', '100', '10', '50', '10', '50', '56', '121', '50']
"407	Bacillus cereus AH187	['30'", '30', '100', '10', '50', '10', '50', '56', '121', '50']
"408	Bacillus cereus AH820	['30'", '30', '100', '10', '50', '10', '50', '56', '121', '50']
"409	Bacillus cereus ATCC 10987	['30'", '30', '100', '10', '50', '10', '50', '56', '121', '50']
"410	Bacillus cereus ATCC 14579	['30'", '30', '100', '10', '50', '10', '50', '56', '121', '50']
"411	Bacillus cereus ATCC 4342	['30'", '30', '100', '10', '50', '10', '50', '56', '121', '50']
"412	Bacillus cereus B4264	['30'", '30', '100', '10', '50', '10', '50', '56', '121', '50']
"413	Bacillus cereus biovar anthracis str. CI	['30'", '30', '100', '10', '50', '10', '50', '56', '121', '50']
"414	Bacillus cereus C1L	['30'", '30', '100', '10', '50', '10', '50', '56', '121', '50']
"415	Bacillus cereus D17	['30'", '30', '100', '10', '50', '10', '50', '56', '121', '50']
"416	Bacillus cereus E33L	['30'", '30', '100', '10', '50', '10', '50', '56', '121', '50']
"417	Bacillus cereus F837/76	['30'", '30', '100', '10', '50', '10', '50', '56', '121', '50']
"418	Bacillus cereus FRI-35	['30'", '30', '100', '10', '50', '10', '50', '56', '121', '50']
"419	Bacillus cereus G9241	['30'", '30', '100', '10', '50', '10', '50', '56', '121', '50']
"420	Bacillus cereus G9842	['30'", '30', '100', '10', '50', '10', '50', '56', '121', '50']
"421	Bacillus cereus NC7401	['30'", '30', '100', '10', '50', '10', '50', '56', '121', '50']
"422	Bacillus cereus Q1	['30'", '30', '100', '10', '50', '10', '50', '56', '121', '50']
"425	Bacillus coagulans	['50'", '55'],,,,,,,,
"426	Bacillus coagulans 2-6	['50'", '55'],,,,,,,,
"427	Bacillus coagulans 36D1	['50'", '55'],,,,,,,,
"428	Bacillus coagulans DSM 1 = ATCC 7050	['50'", '55'],,,,,,,,
"441	Bacillus licheniformis	['50'", '37', '10', '50', '55'],,,,,
"442	Bacillus licheniformis DSM 13 = ATCC 14580	['50'", '37', '10', '50', '55'],,,,,
"443	Bacillus megaterium	['45'", '30', '63', '30'],,,,,,
"444	Bacillus megaterium DSM 319	['45'", '30', '63', '30'],,,,,,
"445	Bacillus megaterium NBRC 15308 = ATCC 14581	['45'", '30', '63', '30'],,,,,,
"446	Bacillus megaterium Q3	['45'", '30', '63', '30'],,,,,,
"447	Bacillus megaterium QM B1551	['45'", '30', '63', '30'],,,,,,
"448	Bacillus megaterium WSH-002	['45'", '30', '63', '30'],,,,,,
"449	Bacillus methanolicus MGA3	['60']",,,,,,,,,
"458	Bacillus safensis	['50'", '37', '55'],,,,,,,
"555	Bacteriovorax stolpii	['35']",,,,,,,,,
"560	Bacteroides dorei CL03T12C01	['37'", '37'],,,,,,,,
"578	Bartonella bacilliformis	['29'", '25'],,,,,,,,
"579	Bartonella bacilliformis KC583	['29'", '25'],,,,,,,,
"596	Bdellovibrio bacteriovorus	['29']",,,,,,,,,
"597	Bdellovibrio bacteriovorus HD100	['29']",,,,,,,,,
"598	Bdellovibrio bacteriovorus str. Tiberius	['29']",,,,,,,,,
"599	Bdellovibrio bacteriovorus W	['29']",,,,,,,,,
"722	Bordetella trematum	['42'", '37'],,,,,,,,
"754	Brachybacterium faecium DSM 4810	['30']",,,,,,,,,
"755	Brachybacterium ginsengisoli	['25'", '34'],,,,,,,,
"782	Brevibacillus brevis NBRC 100599	['55']",,,,,,,,,
"783	Brevibacillus brevis X23	['55']",,,,,,,,,
"884	Burkholderia mallei	['37']",,,,,,,,,
"885	Burkholderia mallei ATCC 23344	['37']",,,,,,,,,
"886	Burkholderia mallei NCTC 10229	['37']",,,,,,,,,
"887	Burkholderia mallei NCTC 10247	['37']",,,,,,,,,
"888	Burkholderia mallei SAVP1	['37']",,,,,,,,,
"897	Burkholderia pseudomallei	['40'", '74'],,,,,,,,
"898	Burkholderia pseudomallei 1026b	['40'", '74'],,,,,,,,
"899	Burkholderia pseudomallei 1106a	['40'", '74'],,,,,,,,
"900	Burkholderia pseudomallei 1710b	['40'", '74'],,,,,,,,
"901	Burkholderia pseudomallei 406e	['40'", '74'],,,,,,,,
"902	Burkholderia pseudomallei 576	['40'", '74'],,,,,,,,
"903	Burkholderia pseudomallei 668	['40'", '74'],,,,,,,,
