	Organism	Txid	Temp	OGT	Source	Features
0	Methanocaldococcus infernus ME		Thermophile		genebank	{'locus': 'NC_014122.1'}
1	Methanocaldococcus infernus ME		55 - 91C		genebank	{'locus': 'NC_014122.1'}
2	Natrialba magadii ATCC 43099		Mesophile		genebank	{'locus': 'NC_013922.1'}
3	Natrialba magadii ATCC 43099		Mesophile		genebank	{'locus': 'NC_013923.1'}
4	Natrialba magadii ATCC 43099		Mesophile		genebank	{'locus': 'NC_013924.1'}
5	Natrialba magadii ATCC 43099		Mesophile		genebank	{'locus': 'NC_013925.1'}
6	Methanococcus voltae A3		Mesophile		genebank	{'locus': 'NC_014222.1'}
7	Methanocaldococcus sp. FS406-22		Thermophile		genebank	{'locus': 'NC_013887.1'}
8	Methanocaldococcus sp. FS406-22		90C		genebank	{'locus': 'NC_013887.1'}
9	Methanocaldococcus sp. FS406-22		Thermophile		genebank	{'locus': 'NC_013888.1'}
10	Methanocaldococcus sp. FS406-22		90C		genebank	{'locus': 'NC_013888.1'}
11	Thermosphaera aggregans DSM 11486		Hyperthermophile		genebank	{'locus': 'NC_014160.1'}
12	Thermosphaera aggregans DSM 11486		85C		genebank	{'locus': 'NC_014160.1'}
13	Sulfolobus solfataricus 98/2		Hyperthermophile		genebank	{'locus': 'NC_017274.1'}
14	Sulfolobus solfataricus 98/2		85C		genebank	{'locus': 'NC_017274.1'}
15	Archaeoglobus profundus DSM 5631		Hyperthermophile		genebank	{'locus': 'NC_013741.1'}
16	Archaeoglobus profundus DSM 5631		85C		genebank	{'locus': 'NC_013741.1'}
17	Archaeoglobus profundus DSM 5631		Hyperthermophile		genebank	{'locus': 'NC_013742.1'}
18	Archaeoglobus profundus DSM 5631		85C		genebank	{'locus': 'NC_013742.1'}
19	Methanohalophilus mahii DSM 5219		Mesophile		genebank	{'locus': 'NC_014002.1'}
20	Methanohalophilus mahii DSM 5219		37C		genebank	{'locus': 'NC_014002.1'}
21	Ferroglobus placidus DSM 10642		Hyperthermophile		genebank	{'locus': 'NC_013849.1'}
22	Ferroglobus placidus DSM 10642		85C		genebank	{'locus': 'NC_013849.1'}
23	Methanohalobium evestigatum Z-7303		Thermophile		genebank	{'locus': 'NC_014253.1'}
24	Methanohalobium evestigatum Z-7303		50C		genebank	{'locus': 'NC_014253.1'}
25	Methanohalobium evestigatum Z-7303		Thermophile		genebank	{'locus': 'NC_014254.1'}
26	Methanohalobium evestigatum Z-7303		50C		genebank	{'locus': 'NC_014254.1'}
27	Halorhabdus utahensis DSM 12940		Mesophile		genebank	{'locus': 'NC_013158.1'}
28	Halorhabdus utahensis DSM 12940		50C		genebank	{'locus': 'NC_013158.1'}
29	Halomicrobium mukohataei DSM 12286		Mesophile		genebank	{'locus': 'NC_013202.1'}
30	Halomicrobium mukohataei DSM 12286		45C		genebank	{'locus': 'NC_013202.1'}
31	Halomicrobium mukohataei DSM 12286		Mesophile		genebank	{'locus': 'NC_013201.1'}
32	Halomicrobium mukohataei DSM 12286		45C		genebank	{'locus': 'NC_013201.1'}
33	Methanocaldococcus fervens AG86		Thermophile		genebank	{'locus': 'NC_013156.1'}
34	Methanocaldococcus fervens AG86		49 - 89C		genebank	{'locus': 'NC_013156.1'}
35	Methanocaldococcus fervens AG86		Thermophile		genebank	{'locus': 'NC_013157.1'}
36	Methanocaldococcus fervens AG86		49 - 89C		genebank	{'locus': 'NC_013157.1'}
37	Staphylothermus hellenicus DSM 12710		Hyperthermophile		genebank	{'locus': 'NC_014205.1'}
38	Staphylothermus hellenicus DSM 12710		85C		genebank	{'locus': 'NC_014205.1'}
